drug,adr,a,b,c,d,prr,prr_signal,ror,ror_signal,ic,ic_signal
acarbose,Abdominal distension,1,66,91,52534,12.687078109932498,False,12.950696413164058,False,1.2816628849911358,False
acarbose,Abdominal pain,2,65,302,52323,6.395964997569276,False,6.60191786007192,False,1.4956570504823588,False
acarbose,Abdominal pain upper,2,65,205,52420,9.414984972091027,False,9.736167604613584,False,1.7117783151439803,False
acarbose,Acute kidney injury,1,66,1836,50789,0.6321087106228279,False,0.6238104108624406,False,-0.9188031966314761,False
acarbose,Anal incontinence,1,66,25,52600,45.524221453287204,False,46.52852720035383,False,1.4925925396880986,False
acarbose,Blood glucose increased,1,66,435,52190,2.6655973526034984,False,2.703167217699818,False,0.5085517755016808,False
acarbose,Blood pressure increased,1,66,138,52487,8.381715863240604,False,8.548220732336256,False,1.1482801955794844,False
acarbose,Cardiac failure congestive,1,66,21,52604,53.993844049247606,False,55.189193915020105,False,1.5064240211392521,False
acarbose,Chest pain,1,66,87,52538,13.267058823529412,False,13.54375939849624,False,1.2936052027184042,False
acarbose,Cold sweat,2,65,22,52603,85.99019607843137,False,89.23409669211196,False,2.2364572989054463,False
acarbose,Completed suicide,1,66,286,52339,4.05189405605174,False,4.120733771601779,False,0.794303784754995,False
acarbose,Constipation,1,66,135,52490,8.567288908183201,False,8.737979635435453,False,1.156435277356269,False
acarbose,Decreased appetite,1,66,198,52427,5.848199733293821,False,5.957557622014734,False,0.9941707739947251,False
acarbose,Dehydration,1,66,322,52303,3.599589603283174,False,3.6582269627557267,False,0.719902818013415,False
acarbose,Diarrhoea,4,63,1091,51534,3.190657756460349,True,3.345901219516594,True,1.2497562719209279,True
acarbose,Dizziness,1,66,334,52291,3.470456343972567,False,3.526180923159918,False,0.695931388576199,False
acarbose,Drug effective for unapproved indication,1,66,1,52624,773.9117647058824,False,791.3458646616541,False,1.5776433188742738,False
acarbose,Drug ineffective,1,66,644,51981,1.8011910737918133,False,1.819263052899899,False,0.18426776822725,False
acarbose,Drug ineffective for unapproved indication,2,65,13,52612,143.31699346405227,False,148.74893977947414,False,2.267918453770453,False
acarbose,Drug interaction,2,65,339,52286,5.698908429351122,False,5.878256079326356,False,1.4210589957139732,False
acarbose,Drug intolerance,2,65,136,52489,14.17420814479638,False,14.677040516735174,False,1.8879590315592731,False
acarbose,Dyspepsia,1,66,66,52559,17.456656346749227,False,17.82785912148793,False,1.3579775947034736,False
acarbose,Erythema multiforme,1,66,9,52616,122.19659442724459,False,124.93035219628017,False,1.548732356561377,False
acarbose,Flatulence,3,64,72,52553,37.36125760649087,True,39.33434910451751,True,2.5555073442662537,True
acarbose,Gastric disorder,1,66,49,52576,23.451871657754012,False,23.958304853041696,False,1.4122778254412816,False
acarbose,General physical health deterioration,1,66,148,52477,7.817290552584671,False,7.971064023695603,False,1.1214247866587035,False
acarbose,Headache,1,66,324,52301,3.577404151182815,False,3.635541086923781,False,0.7158798176232349,False
acarbose,Hepatic cirrhosis,1,66,16,52609,70.35561497326204,False,71.92002734107997,False,1.5239019616437302,False
acarbose,Hepatocellular injury,1,66,32,52593,35.71900452488688,False,36.50213996529786,False,1.468702013208904,False
acarbose,Hypoglycaemia,2,65,878,51747,2.202367002577924,False,2.2482588729053252,False,0.626864818075548,False
acarbose,Illness,1,66,82,52543,14.071122994652407,False,14.365960355434039,False,1.3086734729094378,False
acarbose,Infection,1,66,41,52584,27.972714386959602,False,28.58112147839478,False,1.4385557213545543,False
acarbose,Intentional self-injury,1,66,12,52613,92.86941176470589,False,94.94165413533834,False,1.5380383868022574,False
acarbose,Malaise,1,66,381,52244,3.0429033998920674,False,3.0889839277091813,False,0.6057004270030841,False
acarbose,Muscle spasms,1,66,97,52528,11.90633484162896,False,12.152342394447658,False,1.26393274204392,False
acarbose,Nausea,2,65,657,51968,2.9426302840527847,False,3.016776478100601,False,0.9019092415787592,False
acarbose,Oedema peripheral,1,66,88,52537,13.11714855433699,False,13.39046769466038,False,1.29061034276423,False
acarbose,Off label use,4,63,263,52362,13.216709454180153,True,14.082460517862213,True,2.4223206186197546,True
acarbose,Pain,1,66,208,52417,5.567710537452391,False,5.670741602206956,False,0.9700135224833487,False
acarbose,Pneumatosis intestinalis,1,66,0,52625,2321.7352941176473,False,2374.0827067669175,False,1.5812982682792425,False
acarbose,Product substitution issue,2,65,138,52487,13.96952643873434,False,14.464546531815802,False,1.8825376410835646,False
acarbose,Seizure,1,66,78,52547,14.78812289246909,False,15.099133183276663,False,1.3208424391176745,False
acarbose,Skin abrasion,1,66,5,52620,211.0668449197861,False,215.80519480519482,False,1.5631154185879452,False
acarbose,Skin exfoliation,1,66,21,52604,53.993844049247606,False,55.189193915020105,False,1.5064240211392521,False
acarbose,Sopor,2,65,34,52591,56.08056265984655,False,58.18287421174909,False,2.195548689394941,False
acarbose,Toxicity to various agents,1,66,1114,51511,1.0416039901828833,False,1.0425424260516702,False,-0.35446525255643657,False
acarbose,Vitreous floaters,2,65,7,52618,257.97058823529414,False,267.77862595419845,False,2.289280295484553,False
acarbose,Zinc deficiency,1,66,0,52625,2321.7352941176473,False,2374.0827067669175,False,1.5812982682792425,False
canagliflozin,Abdominal discomfort,1,516,221,51954,0.6821164925002396,False,0.6811933070960777,False,-0.836304119876029,False
canagliflozin,Abdominal distension,2,515,90,52085,2.7824825614880866,False,2.791126996800832,False,0.8337424614179202,False
canagliflozin,Abnormal loss of weight,1,516,13,52162,11.191763191763192,False,11.22136172959019,False,1.2347723692766996,False
canagliflozin,Accidental overdose,1,516,80,52095,1.8768795414758146,False,1.8794261422739051,False,0.21228824440932362,False
canagliflozin,Acute kidney injury,6,511,1831,50344,0.35747646558457363,False,0.3493114548833024,False,-1.5108964428129494,False
canagliflozin,Adenocarcinoma of colon,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Adverse drug reaction,1,516,147,52028,1.024330868398665,False,1.0244015291974995,False,-0.3800917640226138,False
canagliflozin,Adverse event,3,514,55,52120,6.352081811541272,True,6.388490531347674,True,1.7109841687144818,True
canagliflozin,Albumin urine present,1,516,1,52174,100.72586872586872,False,101.01548886737658,False,1.5294239944235921,False
canagliflozin,Alcohol interaction,1,516,12,52163,12.087104247104246,False,12.119303000968054,False,1.2571542779049296,False
canagliflozin,Altered state of consciousness,1,516,43,52132,3.4733058181334044,False,3.4804887004706746,False,0.6869997239983497,False
canagliflozin,Amputation,2,515,2,52173,100.72586872586874,False,101.20950533462657,False,2.2129100929945955,False
canagliflozin,Anal haemorrhage,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Anaphylactic reaction,1,516,8,52167,17.77515330456507,False,17.823871077956838,False,1.3503247648202354,False
canagliflozin,Angina pectoris,2,515,65,52110,3.844498806330867,False,3.8582936599018223,False,1.1110575972110321,False
canagliflozin,Angina unstable,2,515,1,52174,167.87644787644788,False,168.68574199806014,False,2.239402049971008,False
canagliflozin,Angiopathy,1,516,9,52166,15.904084535663483,False,15.947368421052632,False,1.3264620009700643,False
canagliflozin,Anxiety disorder,2,515,3,52172,71.94704908990623,False,72.29111819315506,False,2.186895844302916,False
canagliflozin,Aspartate aminotransferase increased,1,516,31,52144,4.796469939327082,False,4.807495505462591,False,0.8819051250459351,False
canagliflozin,Asthenia,2,515,308,51867,0.8162550139859702,False,0.8153639131808585,False,-0.5024887443430885,False
canagliflozin,Asthma,4,513,79,52096,5.701464267502003,True,5.742665025445059,True,1.7755490459591152,True
canagliflozin,Atheroembolism,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Atrial fibrillation,5,512,74,52101,7.436137959627892,True,7.5052087084629235,True,2.1087905007000582,True
canagliflozin,Back pain,3,514,113,52062,3.1060840576259077,True,3.120411160058737,True,1.0952774245863284,True
canagliflozin,Bacteraemia,2,515,6,52169,38.74071874071874,False,38.92374841453406,False,2.111554470431118,False
canagliflozin,Balance disorder,2,515,36,52139,6.899032104511557,False,6.9276404076372184,False,1.5181290993215564,False
canagliflozin,Biliary colic,1,516,2,52173,60.435521235521236,False,60.6081316553727,False,1.5024364558048016,False
canagliflozin,Biliary tract disorder,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Birth mark,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Bladder cancer,2,515,36,52139,6.899032104511557,False,6.9276404076372184,False,1.5181290993215564,False
canagliflozin,Blepharitis,1,516,0,52175,302.17760617760615,False,303.05227492739596,False,1.556926010288367,False
canagliflozin,Blister,1,516,28,52147,5.301361511887827,False,5.313853365262139,False,0.9350429509616635,False
canagliflozin,Blood alkaline phosphatase increased,1,516,8,52167,17.77515330456507,False,17.823871077956838,False,1.3503247648202354,False
canagliflozin,Blood count abnormal,3,514,22,52153,15.66846846846847,True,15.768253968253969,True,2.2314745269776624,True
canagliflozin,Blood glucose abnormal,2,515,80,52095,3.128132569126358,False,3.138453289636185,False,0.9383621834754006,False
canagliflozin,Blood glucose decreased,2,515,107,52068,2.3424620633922957,False,2.3489725486657793,False,0.6716421508164294,False
canagliflozin,Blood glucose increased,5,512,431,51744,1.28387549940273,False,1.286921968176808,False,0.20304984122049352,True
canagliflozin,Blood ketone body increased,3,514,9,52166,37.1095305832148,True,37.35517364840673,True,2.5022813189649415,True
canagliflozin,Blood potassium increased,1,516,18,52157,8.166962329124491,False,8.187776353313623,False,1.1277927300863893,False
canagliflozin,Blood pressure inadequately controlled,1,516,2,52173,60.435521235521236,False,60.6081316553727,False,1.5024364558048016,False
canagliflozin,Blood pressure increased,1,516,138,52037,1.090893885117712,False,1.0911578557424486,False,-0.31330880002161127,False
